"Nr";"Kurzbezeichnung";"Einheit";"Matchcode"
2218;"RZB Hausnummernleuchte";"Stück";"LX13"
2219;"Ausbau des vorhanden Gr. 00 Trenners";"Stück";2219
222;"Herdplatte 14,5 cm, 1500W";"Stück";"H5"
2220;"Überspannungsschutz Zuleitung 230V";"Stück";2220
2221;"Überpannungsschutz Datenleitung";"Stück";2221
2222;"Überspannungschutz Notruf-Schranke";"Stück";2222
2226;"Elektroinstallation Aldi Markt";"Stück";2226
2227;"Montage und Anschluss der Elemente für";"Stück";2227
2228;"Patchkabel 25m ";"Stück";2228
223;"Herdplatte 18 cm  1500W";"Stück";"H6"
2233;"Lichtmast 4,50m Höhe";"Stück";2233
2234;"Aufstellen und Anschluss des Lichtmastes";"Stück";2234
2235;"Wandstrahler 500W mit Bewegungsmelder und Dämmerunsgschalter";"Stück";2235
2236;"Austausch der Leuchtmittel in den Durchgängen";"Stunden";2236
2239;"Wandlertausch für Stadtwerke ( wie Kostenangebot v. 10.12.2007, in Fil. 8741). ";"Stück";"Wandlertausch "
224;"Herdplatte 18 cm, 2000W";"Stück";"H7"
2240;"Die Installation einer neuen Klingelanlage, bestehend aus: ";"Stück";"Insta. Klingelanlage"
2244;"Leitungsschutzschalter 3-polig 20 A Charakterisk C";"Stück";"YE13"
225;"Backofenthermostat";"Stück";"H8"
2254;"NYY 5x25 qmm";"Meter";"NY525"
2256;"Klimaanlage";"Stück";2256
2257;"Lieferung einer Zuleitung für die Kühlzelle";"Stück";2257
2258;"Lieferung eines Strahlers mit Bewegungsmelder ink. Zuleitung";"Stück";2258
2259;"Lieferung und Montage einer Zuleitung für die Non-Food-Vitrine";"Stück";2259
226;"Herd-Schalterknebel";"Stück";"H9"
2260;"Lieferung von 3 Siedle-Läutwerken NS511-01";;2260
2261;"Abschlagszahlung Falkenseer Damm ";"Stück";2261
2262;"Rangierkanal 230x190 lichtgrau ";"Meter";2262
2263;"Kabelkanal 60x110mm";"Meter";"RK61"
2264;"Kabelkanal 60x190mm";"Meter";2264
227;"YR-Leitung 4x0,8";"Meter";"K4"
2272;"HP dx2400 MCT E4600 1GB 250G XPVB - Intel Core 2 Duo E4600 2.40 GHz";"Stück";2272
2273;"Versand- und Verpackungspauschale f. Baumgärtner-Steuerungen.";"Stück";"Versand- u. Verpackungspauschale"
2277;"Lieferung u. Montage Zuleitungen für die Lüftungsanlage";"Stück";2277
2278;"Lieferung u. Montage der nötigen Leitungen für die Fußbodenheizung";"Stück";2278
2279;"Beleuchtung der Disco-Kugel über Dimmer";"Stück";2279
228;"Klingeltaster a. P. rund";"Stück";"KE3"
2280;"100er-WC-Lüfter, Helios";"Stück";"Helios Lüfter"
229;"Klingelknopf m. Namenschild";"Stück";"KE4"
2290;"Potentialausgleichsleitung 10qmm flexibel";"Meter";2290
2291;"Pauschale für Anfahrtskosten, Lieferung Material, Übernachtungen";"Stück";2291
2292;"Lieferung und Montage der Zuleitungen für die Schrankenanlage:";"Stück";2292
2293;"Lieferung und Montage eines zusätzlichen Siedle Gongs";"Stück";2293
2294;"Lieferung und Montage eines zweiten zusätzlichen Siedle Gongs";"Stück";2294
