"Nr";"Kurzbezeichnung";"Einheit";"Matchcode"
549;"Treppenlichttaster u.P. mit Lampe";"Stück";"SU7"
551;"Koaxialkabel für KTV, 70 Ohm";"Meter";"T1"
552;"Hausanschlußverstärker 20dB";"Stück";"T10"
553;"Antennenleitungs-Verbinder";"Stück";"T11"
554;"TV-Zweifachverteiler F-Technik";"Stück";"T12"
555;"Dreifachverteiler F-Technik";"Stück";"T13"
556;"Telefon-Zweitwecker, elektronisch";"Stück";"T14"
557;"Hausanschlußverstärker 30dB, VX";"Stück";"T15"
558;"Dämpfungsarmes Koaxialkabel 741";"Stück";"T2"
559;"BNC-Stecker";"Stück";"T24"
560;"KTV-Antennensteckdose TV und Radio";"Stück";"T3"
561;"Kos/Kok-Stecker";"Stück";"T9"
562;"Telefonanschlußdose 3-fach TAE";"Stück";"TAE"
563;"Verteilung a.P., 1-reihig, leer";"Stück";"V1"
564;"Etagenklemme a.P./u. P. 4x16/4";"Stück";"V11"
565;"Etagenklemme a. P./ u. P. 4x35/4";"Stück";"V12"
566;"Verteilung 1-reihig, a. P. FR, leer";"Stück";"V15"
567;"Verteilung, 2-reihig, a. P. FR, leer";"Stück";"V16"
568;"Potentialausgleichs-Schiene 100A";"Stück";"V19"
569;"Potentialausgleichs-Schiene 250A";"Stück";"V20"
571;"Verteilungsschrank, 2-feldrig, 4-reihig";"Stück";"V24"
572;"Verteilungsschrank, 1-feldrig, 4-reihig";"Stück";"V241"
573;"Verteilungsschrank, 3-feldrig, 4-reihig";"Stück";"V25"
574;"Verteilungsschrank, 3-feldrig, 5-reihig";"Stück";"V26"
575;"Automatenkasten 4 TE";"Stück";"V27"
576;"Verteilung a. P., 4-reihig, leer";"Stück";"V4"
577;"Verteilung a. P., 5-reihig, leer";"Stück";"V5"
578;"Verteilung u. P., 1-reihig, leer";"Stück";"V6"
579;"Verteilung u. P., 2-reihig, leer";"Stück";"V7"
580;"Verteilung u. P., 3-reihig, leer";"Stück";"V8"
581;"Verteilung u. P., 4-reihig, leer";"Stück";"V9"
582;"Würgenippel-Verschraubung PG 13,5";"Stück";"VS13"
583;"Würgenippel-Verschraubung PG 16";"Stück";"VS16"
584;"Würgenippel-Verschraubung PG 21";"Stück";"VS21"
585;"Würgenippel-Verschraubung PG 29";"Stück";"VS29"
586;"Würgenippel-Verschraubung PG 36";"Stück";"VS36"
587;"Neozed-Sicherungselement kpl. bis 63A";"Stück";"YN11"
588;"Skylift-Einsatz ";"Stück";"X100"
589;"Widerstände 100 Ohm";"Stück";"X11"
591;"I-Y/4 (St) 4x2x0,6";"Meter";"X14"
592;"Kableschuhe (Quetsch) 10 - 25";"Meter";"X15"
593;"Kabelschuhe (Quetsch) 35 - 70";"Meter";"X16"
594;"Kabelschuhe (Quetsch) 95qmm";"Meter";"X17"
595;"Kableschuhe (Quetsch) 120qmm";"Meter";"X18"
596;"Kabelschuhe (Quetsch) 150qmm";"Meter";"X19"
597;"Kabelschuhe (Quetsch) 185qmm";"Meter";"X20"
598;"Beschriftungsband (Rolle)";"Stück";"X27"
599;"Gerüstkosten einfach";"Stück";"X3"
60;"Anfahrtspauschale";"x";60
601;"Gerüstkosten, 2-fach  ";"Stück";"X4"
602;"Gerüstkosten ";"Stück";"X5"
603;"Schnellbindebeton";"Stück";"X7"
604;"Fertigmörtel rotband";"Stück";"X8"
605;"Schnellbindegips";"Stück";"X9"
606;"Diazed-Sicherung 2 - 25A";"Stück";"YD1"
607;"Diazed-Sicherungselement kpl. bis 63A";"Stück";"YD11"
608;"Diazed-Sicherung 80 - 100A";"Stück";"YD3"
609;"Diazed-Schraubkappe KII 25A";"Stück";"YD4"
610;"Diazed-Schraubkappe KIII 63A";"Stück";"YD5"
611;"Diazed-Schraubkappe KIV 100A";"Stück";"YD6"
612;"Diazed-Paßschraube 2 - 63A";"Stück";"YD7"
613;"Diazed-Paßschraube 80 - 100A";"Stück";"YD8"
614;"Leitungsschutzschalter, 1-polig 20 - 32 A Charakteristik C";"Stück";"YE10"
615;"Leitungsschutzschalter 3-polig 16 A Charakterisk C";"Stück";"YE11"
616;"Leitungsschutzschalter 3-polig 25 A Charakterisk C";"Stück";"YE12"
617;"Leitungsschutzschalter 20 - 32 A Charakteristik B";"Stück";"YE2"
618;"Einbauschalter- aus, 2-polig";"Stück";"YE5"
619;"Einbaukontroll-Lampe rot o. grün";"Stück";"YE6"
620;"Schraubautomatensicherung 16 - 25A";"Stück";"YE7"
621;"Matrox MILLENNIUM G550 DH - PCI16X-EX Grafikkarte";"Stück";621
623;"Leitungsschutzschalter 3-polig 16 A Charakterisk B";"Stück";"YE8"
624;"Leitungsschutzschalter 3-polig 25 A Charakterisk B";"Stück";"YE9"
625;"Feinsicherung 0,2 - 10A";"Stück";"YF1"
626;"NH-Sicherung Gr. 1, 63 - 160A";"Stück";"YH2"
627;"NH-Sicherung Gr. 2, 100 - 200A";"Stück";"YH3"
628;"NH-Sicherung Gr. 2, 224 - 250A";"Stück";"YH4"
629;"Kammschiene für Sicherungsautomaten";"Stück";"YK1"
630;"Anschlußklemme für Kammschienen";"Stück";"YK2"
631;"O-Bock-Klemme";"Stück";"YK3"
632;"Neozed-Sicherung 2 - 63A";"Stück";"YN1"
633;"Neozed-Sicherung 80 - 100A";"Stück";"YN2"
634;"Neozed-Schraubkappe 16 - 63A";"Stück";"YN3"
635;"Neozed-Schraubkappe 100A";"Stück";"YN4"
636;"Neozed-Paßring 2 - 100A";"Stück";"YN5"
637;"Neozed-Einbauelement 16A";"Stück";"YN6"
638;"Neozed-Einbauelement 63A";"Stück";"YN7"
639;"Neozed-Einbauelement 100A";"Stück";"YN8"
640;"Zählertafel 1-reihig, leer";"Stück";"Z1"
641;"Zählertafel 2-reihig, kpl. bestückt";"Stück";"Z10"
642;"Zählertafel 3-reihig, kpl. bestückt";"Stück";"Z11"
643;"Drehstromzähler bis 40A";"Stück";"Z13"
644;"Baustromverteilung ";"Stück";"Baustrom, EVU"
646;"Stromversorgung";"Stück";"Stromversogung"
649;"Verlegen der Datenleitungen und liefern der Klingelanlage. ";"Stück";"EDV u. Telefonanl."
650;"Tagalarm";"Stück";"Tagalarm"
653;"Parkplatzmastleuchten";"Stück";"7 Parkplatzmastleu."
655;"Leistungsdimmer 1000 W";"Stück";"SD3"
656;"Lieferung und Montage von Hochglanzeinbauleuchten";"Stück";"EVG-Einbauleuchten "
657;"Kunststoff-Panzerrohr";"Stück";"Kunststoff-Panzerr."
659;"Baustrom";"Stück";"Baustromversorg."
660;"Strom";"Stück";"Stromversorg."
662;"Verteilung";"Stück";"Verteilung"
664;"Wechselstromkreise";"Stück";"Wechselstromkreise"
665;"Telefonleitung";"Stück";"Telefon"
666;"Klingelanlage";"Stück";"Klingel"
668;"Dämmerungsschalter";"Stück";"Dämmerung"
669;"Installation Sozial";"Stück";"Sozial- u. Abstellr."
670;"Leerrohr";"Stück";"Leerrohr"
671;"NKL-Leuchte";"Stück";"NKL-Leuchte"
673;"L-Leuchten";"Stück";"L-Leuchten"
674;"Rasterleuchten";"Stück";"Rasterleuchten"
675;"Ringleitung";"Stück";"Ringleitung"
677;"Zuleitung";"Stück";"Zuleitung"
680;"Doppel-Mastleuchten";"Stück";"Doppel-Mastleuchten"
682;"Hausnummernleuchte";"Stück";"Hausnummernl."
684;"Aldi-Installation";"Stück";"Aldi-Insta."
685;"Rauchabzugstaster";"Stück";"Rauchabzugstaster"
688;"Leuchten";"Stück";"Leuchten"
690;"Zähleranlage";"Stück";"Hauptstrom"
691;"Verteilerschrank";"Stück";"Verteilerschrank"
692;"Mastleuchten AEG";"Stück";"Mastl. "
693;"Kassenanschlüsse";"Stück";"Kassen"
694;"Anschlüsse Kühlanlagen / Presse";"Stück";"Kühlanlagen"
695;"Lüfter";"Stück";"Lüfter"
696;"Seko-Sprint 600, weiß";"Stück";"Seko-Sprinter"
697;"Seko-Lautsprecher-Micro-Kombination";"Stück";"Seko-Lautsprecher"
699;"Stromkreise";"Stück";"Stromkreise"
700;"Durchlauferhitzer";"Stück";"Durchlauferhitzer"
701;"Bewag-Zuleitung";"Stück";"Bewag-Zuleitg."
703;"NAV, E 70W m. Zünder E 27";"Stück";"LQ16"
705;"Demontage Steckdosenbretter";"Stück";"Steckdosenbretter"
706;"Demontage Steckdosenanlage";"Stück";"Steckdosenanlage"
707;"Abklemmen Kühlungszuleitungen";"Stück";"Abklemmen Kühlunszul"
750;"Mastaufsatzleuchte";"Stück";"Mastaufsatz"
751;"Lichtmastabdeckung";"Stück";"LXA"
752;"Elektronisches Vorschaltgerät, 1x26 - 42 Watt";"Stück";"LEV1M"
753;"Elektronisches Vorschaltgerät, 2x26 - 42 Watt";"Stück";"LEV2M"
754;"Jalousiesteuerung";"Stück";"Jalousien"
755;"Installation Kamera-Attrappe";"Stück";"Kamera-Attrappe"
756;"NYA 1,5qmm";"Meter";"NA1"
757;"Installation LGA";"Stück";"LGA"
758;"Decken-Bewegungsmelder 360° (Anwesenheitsabhängig)";"Stück";"SC25"
759;"Gewindestange M8";"Meter";"m8"
761;"Kassenanschlußkanal, komplett";"Stück";"RSL"
762;"Wandler-Zähleranlage";"Stück";"Wandleranlage"
763;"Montage Wandleranlage";"Stück";"Montage Wandleranl."
764;"Zuleitungen für Schneckenverdichter";"Stück";"Zuleitung f. Mopro"
765;"Reihenklemme 16mm²";"Stück";"Z5"
766;"Schuko-Steckdosen-Verteiler 3-fach";"Stück";"SAT3"
767;"Hebe-Arbeitsbühne anteilig. ";"Stück";"Hebe-Arbeitsbühne"
768;"reduzierter Anteil f. 2. Einsatz der Arbeitsbühne";"Stück";"reduzierter Anteil"
770;"I-Y (ST) 10x2x0,8";"Meter";"X21"
771;"Schuch-Wandleuchten";"Stück";"Schucht-Wandleuchten"
772;"Lichtmast LPH 8m";"Stück";"Lichtmast LPH 8m"
774;"Erdkabel, Kabelgraben, Pflasterung";"Stück";"Pflasterung"
775;"MYRA-Leuchtengläser";"Stück";"MYRA-Leuchten"
776;"Teraneo-Rufwiderstand";"Stück";"Rufwiderstand"
777;"Obstleuchte 4x18 EVG";"Stück";"Obstleuchte 4x18"
778;"5 Liter UT-Speicher ";"Stück";"5L- UT-Speicher"
779;"E-Verteilungen m. Sicherungsautomaten";"Stück";"Sicherungsautomaten"
780;"Leuchtstofflampen 58/840 U";"Stück";"LL58U"
781;"Unterverteilung Hausanlage u. Kiosk";"Stück";"UV-Hausanl. "
784;"Mastleuchten";"Stück";"Mastleuchten"
785;"Verbindungskabel HA u. Wandleranlage";"Stück";"Verbindungskabel"
786;"Verbindungskabel Vattenfall u. HA-Säule";"Stück";"Verbindungsk.HA-Säul"
787;"Elektronisches Vorschaltgerät 4x18";"Stück";"LEV418"
788;"Niedervoltstrahler m. Trafo";"Stück";"NVS-Trafo"
789;"Setzen von Gießharzmuffen";"Stück";"Gießharzmuffe"
79;"Starter ST111";"Stück";"LS1"
790;"Jalousiesteuerung";"Stück";"Jalousiesteuerung"
791;"Abdecksteine";"Meter";"NKAH"
792;"Montage Hochglanzspiegelleuchten";"Stück";"Hochglanzspiegell. "
793;"Zählerzusammenlegung ";"Stück";"Zählerzusammenlegung"
794;"Umverlegen der Zählerfernabfrage und Freischalten des bisherigen Zählerplatzes. ";"Stück";"Zählerfernabfr. u. Freischalt."
795;"Aufbauleuchten ";"Stück";"Aufbauleuchten"
796;"Läutewerke und 230V-Klingelanlage";"Stück";"230V-Klingelanlage"
797;"Nachrüsten HA/HV-Kombination ";"Stück";"Nachrüsten"
798;"Kunststoff-Kabelkanal, weiß";"Stück";"weißer Kabelkanal"
800;"Fernwartung IT-Spezialist (Kategorie B)";"Minuten";800
801;"Steuerkasten/Gerät (Kassenband) gebraucht";"Stück";"Steuergerät"
802;"Wechselstromzähler bis 40A, unbeglaubigt.";"Stück";"Z7"
803;"Leuchtstofflampe 21W/840";"Stück";"LT521"
900;"Stundenlohn Elektroinstallateur Sonntagsarbeiten";"Stunden";"Sonntagsarb. "
961;"Patchpanel Kategorie 6, 24 Ports";"Stück";961
962;"Patchpanel Kategorie 6E, 16 Ports";"Stück";962
996;"Serverschrank 24HE, HxBxT 1163mm x 600mm x 800mm";"Stück";996
997;"Adapter-Drucker-Kabel USB/Parallel Port";"Stück";997
"Linde";"Linde";"Stück";77
